ScoreID,SessionID,ShotNumber,ReactionTime,PositionX,PositionY,GameType,RecordedAt
89,11,1,0.88,3.86,-8.35,Target,2025-04-08 12:39:23
90,11,2,0.68,-3.77,2.53,Target,2025-04-08 12:39:24
91,11,3,0.63,-6.31,-4.99,Target,2025-04-08 12:39:25
92,11,4,1.32,2.81,0.21,Target,2025-04-08 12:39:26
93,11,5,0.88,3.86,-8.35,Target,2025-04-08 12:39:27
94,11,1,0.34,2.49,0.7,Shooting,2025-04-08 12:39:49
95,11,2,0.26,2.49,0.7,Shooting,2025-04-08 12:39:52
96,11,3,0.25,2.49,0.7,Shooting,2025-04-08 12:39:55
97,11,4,0.3,2.49,0.7,Shooting,2025-04-08 12:40:00
98,11,5,0.28,2.49,0.7,Shooting,2025-04-08 12:40:02
99,12,1,2.22,-0.09,-0.61,Target,2025-04-08 12:58:38
100,12,2,2.89,-0.1,-1.5,Target,2025-04-08 12:58:40
101,12,3,3.12,-2.32,-1.23,Target,2025-04-08 12:58:42
102,12,4,3.7,-1.94,2.67,Target,2025-04-08 12:58:43
103,12,5,2.22,-0.09,-0.61,Target,2025-04-08 12:58:44
104,12,1,0.92,5.29,0.89,Shooting,2025-04-08 12:59:29
105,12,2,1.0,2.8,-1.31,Shooting,2025-04-08 12:59:35
106,12,3,0.65,-0.53,-0.47,Shooting,2025-04-08 12:59:38
107,12,4,0.33,1.97,0.35,Shooting,2025-04-08 12:59:43
108,12,5,0.66,1.97,0.35,Shooting,2025-04-08 12:59:46
109,13,1,0.59,-6.2,-3.77,Target,2025-04-08 20:23:29
110,13,2,0.72,-1.74,-3.69,Target,2025-04-08 20:23:31
111,13,3,1.81,2.45,3.06,Target,2025-04-08 20:23:33
112,13,4,0.53,-0.45,-1.73,Target,2025-04-08 20:23:34
113,13,5,0.59,-6.2,-3.77,Target,2025-04-08 20:23:34
114,13,1,0.45,4.72,0.63,Shooting,2025-04-08 20:24:07
115,13,2,0.23,2.6,0.1,Shooting,2025-04-08 20:24:11
116,13,3,0.26,1.54,-0.96,Shooting,2025-04-08 20:24:15
117,13,4,0.31,1.54,-0.96,Shooting,2025-04-08 20:24:18
118,13,5,0.24,1.54,-0.96,Shooting,2025-04-08 20:24:21
119,14,1,0.55,-2.81,-4.41,Target,2025-04-09 16:33:49
120,14,2,0.77,0.73,4.06,Target,2025-04-09 16:33:50
121,14,3,0.73,0.8,1.2,Target,2025-04-09 16:33:51
122,14,4,0.82,-1.21,0.62,Target,2025-04-09 16:33:52
123,14,5,0.55,-2.81,-4.41,Target,2025-04-09 16:33:53
124,14,1,0.43,0.89,2.86,Shooting,2025-04-09 16:34:07
125,14,2,0.3,-0.3,1.66,Shooting,2025-04-09 16:34:10
126,14,3,0.25,0.89,-1.9,Shooting,2025-04-09 16:34:13
127,14,4,1.03,0.59,-0.12,Shooting,2025-04-09 16:34:18
128,14,5,0.47,0.59,-0.12,Shooting,2025-04-09 16:34:21
129,15,1,0.45,3.18,2.48,Target,2025-04-09 16:43:58
130,15,2,0.42,3.74,1.58,Target,2025-04-09 16:43:59
131,15,3,0.38,2.45,-3.66,Target,2025-04-09 16:44:00
132,15,4,1.42,4.33,1.78,Target,2025-04-09 16:44:02
133,15,1,0.4,5.41,-1.68,Shooting,2025-04-09 16:44:17
134,15,2,0.72,5.41,-0.37,Shooting,2025-04-09 16:44:19
135,15,3,0.28,5.41,-0.7,Shooting,2025-04-09 16:44:25
136,15,4,2.44,1.67,0.85,Shooting,2025-04-09 16:44:30
137,15,5,0.28,2.66,1.43,Shooting,2025-04-09 16:44:35
138,,,,,,,
